categoria_id,jogo_id
62,102600
2,108710
22,108710
28,108710
29,108710
23,108710
43,108710
62,108710
2,201790
1,201790
9,201790
38,201790
48,201790
22,201790
28,201790
29,201790
30,201790
23,201790
25,201790
62,201790
2,204360
1,204360
49,204360
36,204360
37,204360
9,204360
38,204360
39,204360
24,204360
22,204360
28,204360
29,204360
23,204360
25,204360
41,204360
42,204360
43,204360
44,204360
62,204360
2,214870
1,214870
9,214870
24,214870
22,214870
29,214870
30,214870
18,214870
23,214870
25,214870
17,214870
44,214870
62,214870
2,220240
1,220240
9,220240
18,220240
2,99900
1,99900
20,99900
9,99900
22,99900
29,99900
35,99900
18,99900
2,109600
1,109600
20,109600
49,109600
36,109600
9,109600
38,109600
29,109600
35,109600
17,109600
2,263500
1,263500
9,263500
27,263500
22,263500
29,263500
18,263500
62,263500
1,39120
20,39120
49,39120
36,39120
9,39120
38,39120
29,39120
35,39120
2,253710
1,253710
9,253710
38,253710
22,253710
35,253710
1,295550
20,295550
22,295550
29,295550
62,295550
1,215080
20,215080
9,215080
38,215080
22,215080
29,215080
35,215080
1,372000
20,372000
29,372000
35,372000
18,372000
8,372000
1,381210
49,381210
36,381210
9,381210
38,381210
27,381210
22,381210
28,381210
29,381210
23,381210
41,381210
42,381210
43,381210
62,381210
1,386360
22,386360
28,386360
29,386360
1,407530
9,407530
30,407530
18,407530
15,407530
25,407530
17,407530
62,407530
2,413150
1,413150
9,413150
38,413150
48,413150
39,413150
24,413150
22,413150
28,413150
29,413150
23,413150
41,413150
42,413150
44,413150
62,413150
1,444090
49,444090
36,444090
27,444090
22,444090
28,444090
29,444090
35,444090
41,444090
42,444090
2,442080
1,442080
20,442080
49,442080
36,442080
29,442080
35,442080
1,438740
22,438740
28,438740
15,438740
25,438740
43,438740
62,438740
2,260410
22,260410
29,260410
25,260410
62,260410
2,252150
29,252150
62,252150
2,272060
62,272060
2,346110
1,346110
20,346110
9,346110
22,346110
28,346110
30,346110
23,346110
8,346110
17,346110
42,346110
62,346110
2,346290
28,346290
13,346290
62,346290
2,298180
62,298180
2,291550
1,291550
49,291550
36,291550
37,291550
9,291550
38,291550
39,291550
24,291550
27,291550
22,291550
28,291550
29,291550
41,291550
42,291550
43,291550
44,291550
2,397720
17,397720
62,397720
2,351940
22,351940
28,351940
29,351940
13,351940
62,351940
2,42700
1,42700
9,42700
22,42700
18,42700
8,42700
62,42700
2,42700
1,42700
9,42700
22,42700
18,42700
8,42700
62,42700
2,104900
1,104900
49,104900
36,104900
9,104900
38,104900
22,104900
28,104900
29,104900
30,104900
8,104900
15,104900
25,104900
17,104900
44,104900
62,104900
1,4920
49,4920
36,4920
22,4920
29,4920
30,4920
23,4920
8,4920
17,4920
62,4920
2,113020
1,113020
49,113020
36,113020
37,113020
9,113020
38,113020
39,113020
24,113020
27,113020
22,113020
28,113020
29,113020
30,113020
23,113020
25,113020
17,113020
44,113020
62,113020
2,35720
1,35720
9,35720
38,35720
39,35720
24,35720
27,35720
22,35720
28,35720
29,35720
30,35720
23,35720
17,35720
41,35720
42,35720
43,35720
44,35720
62,35720
2,39150
22,39150
28,39150
23,39150
41,39150
42,39150
62,39150
2,253690
1,253690
9,253690
38,253690
39,253690
24,253690
22,253690
28,253690
23,253690
25,253690
43,253690
44,253690
62,253690
1,271570
9,271570
24,271570
27,271570
22,271570
29,271570
18,271570
44,271570
62,271570
1,222880
9,222880
27,222880
22,222880
28,222880
29,222880
30,222880
8,222880
17,222880
62,222880
1,285900
49,285900
36,285900
37,285900
24,285900
22,285900
28,285900
41,285900
42,285900
43,285900
44,285900
62,285900
