appid,id,percentual_obtencao_usuarios
1250,WinThrillsChillsSuicidal,1.7000000476837158
35420,TurretsBuild,6.099999904632568
35420,BloatChampionKilled,6.099999904632568
35420,GorefastChampionKilled,6.099999904632568
35420,ClotChampionKilled,6.099999904632568
35420,10000DamageInflicted,6.099999904632568
35420,PatriarchKilled,6.099999904632568
35420,MeleedFleshpound,6.0
35420,MeleeKills50,6.0
35420,GotObjective,6.0
35420,StunTurret,6.0
35420,MedicHealing,6.0
35420,DestroyTurret,6.0
35420,FleshpoundChampionKilled,6.0
35420,ScrakeChampionKilled,6.0
35420,HuskChampionKilled,6.0
35420,SirenChampionKilled,6.0
35420,StalkerChampionKilled,6.0
35420,CrawlerChampionKilled,6.0
35420,40000DamageInflicted,6.0
35420,SurvivedSuicidal,6.0
35420,AmmoUpdate,6.0
35420,NuclearGrenades,6.0
35420,NuclearRockets,6.0
35420,Sniper2Upgrade,6.0
35420,Sniper1Upgrade,6.0
35420,SupremeCommanderRank,6.0
35420,AlliangeCaptainRank,6.0
35420,AdvancedGunnerRank,6.0
35420,IncendiaryBullets,6.0
35420,Obliterate15ZedsWithPlasmabomb,6.0
3590,potato_mine,82.80000305175781
3590,cherry_bomb,67.0
3590,penny_pincher,58.0
3590,hypnotize_dancer,54.099998474121094
3590,finished_adventure,49.70000076293945
3590,roll_heads,42.599998474121094
3590,pea_pool,28.100000381469727
3590,all_plants,24.5
3590,minigames,23.100000381469727
3590,sunny_days,21.5
3590,gold_sunflower_trophy,18.200000762939453
3590,secret_zombie,17.899999618530273
3590,popcorn,16.700000762939453
3590,survival_streak,13.699999809265137
3590,mustache_mode,12.699999809265137
3590,grounded,11.800000190734863
3590,no_fungus,11.5
3590,tall_tree,9.600000381469727
3590,good_morning,9.5
3590,vasebreaker_streak,8.5
3590,izombie_streak,8.199999809265137
34900,ACH_F1,15.600000381469727
34900,ACH_M1,14.600000381469727
34900,ACH_F2,8.5
34900,ACH_M2,8.199999809265137
34900,ACH_E1,6.300000190734863
34900,ACH_F3,6.199999809265137
34900,ACH_M3,5.900000095367432
34900,ACH_M5,5.599999904632568
34900,ACH_M4,5.599999904632568
34900,ACH_E2,5.300000190734863
34900,ACH_S1,5.300000190734863
34900,ACH_O1,5.099999904632568
34900,ACH_E3,5.0
550,ACH_KILL_SPITTER_FAST,66.80000305175781
550,ACH_SAVE_PLAYER_FROM_JOCKEY_FAST,65.30000305175781
550,GLOBAL_GNOME_ALONE,62.400001525878906
550,ACH_DEPLOY_AMMO_UPGRADE,51.599998474121094
550,ACH_SURVIVE_MALL,40.29999923706055
550,ACH_KILL_EVERY_UNCOMMON_INFECTED,39.400001525878906
550,ACH_BILE_A_TANK,32.900001525878906
550,ACH_REVIVE_WITH_ACTIVE_TANK,30.100000381469727
550,ACH_SURVIVE_THE_PASSING,29.700000762939453
550,ACH_SURVIVE_ROAD,27.200000762939453
550,ACH_KILL_INFECTED_WITH_CHAINSAW,25.600000381469727
550,ACH_CUT_OFF_HEADS_MELEE,24.0
550,ACH_IGNITE_INFECTED_FIRE_AMMO,23.0
550,ACH_SURVIVE_TOWN,22.600000381469727
550,ACH_COMPLETE_THE_SACRIFICE,20.600000381469727
550,ACH_SURVIVE_BRIDGE,20.399999618530273
550,ACH_SURVIVE_SWAMP,20.200000762939453
550,ACH_VS_SPIT_ON_ENEMY_TEAM,19.0
550,ACH_KILL_WITH_EVERY_MELEE,18.700000762939453
550,ACH_KILL_SUBMERGED_MUDMEN,16.600000381469727
550,ACH_SURVIVE_COLD_STREAM,15.800000190734863
550,ACH_VS_JOCKEY_LONG_RIDE,15.800000190734863
550,ACH_INCENDIARY_CLOWN_POSSE,15.600000381469727
550,ACH_VS_JOCKEY_TWO_PLAYERS,15.0
550,ACH_KILL_LEAPING_HUNTER_WITH_SHOTGUN,14.800000190734863
550,ACH_SCAVENGE_FALLEN_SURVIVOR,14.699999809265137
550,ACH_SACRIFICE_BILL,14.5
550,ACH_COLLECT_CEDA_VIALS,14.5
550,ACH_DESTROY_TANK_ROCK,14.199999809265137
550,ACH_VS_CHARGER_GROUND_SMASH,13.199999809265137
550,ACH_VS_JOCKEY_INTO_ACID,12.800000190734863
550,ACH_KILL_ZOMBIES_GRENADE_BLAST,12.399999618530273
550,ACH_OPEN_FOOT_LOCKERS,11.899999618530273
550,ACH_HEADS_WITH_GOLF_CLUB,11.600000381469727
550,ACH_KILL_TANK_L4D1_ONLY,11.5
550,ACH_HELP_FREE_CHRISTMAS_PLAYER_SURVIVE,11.300000190734863
550,ACH_HEAR_BALLAD,11.300000190734863
550,ACH_SURVIVE_LIGHTHOUSE,11.199999809265137
550,ACH_VS_SPIT_ON_SMOKERED_PLAYER,10.399999618530273
550,ACH_VS_CHARGER_LONG_CARRY,10.0
550,ACH_FREE_SELF_FROM_SMOKER_WITH_MELEE,9.699999809265137
550,ACH_HONK_A_CLOWNS_NOSE,9.699999809265137
550,ACH_SURVIVAL_BRONZE_MEDAL,9.600000381469727
550,ACH_IMPOUND_LOT_NO_ALARMS,9.199999809265137
550,ACH_KILL_TANK_MELEE_ONLY,8.100000381469727
550,ACH_MELEE_A_CHARGER,8.0
550,ACH_VS_BOWL_ENEMY_TEAM,7.800000190734863
550,ACH_COLLECT_HOLIDAY_GIFTS,7.099999904632568
550,ACH_VS_BILE_PLAYER_NO_LINE_OF_SIGHT,6.699999809265137
550,ACH_KILLS_WITH_M60,6.5
